no,tens_place,one_place,initial,kimariji
0,0,0,序,(序歌)
87,8,7,む,む
18,1,8,す,す
57,5,7,め,め
22,2,2,ふ,ふ
70,7,0,さ,さ
81,8,1,ほ,ほ
77,7,7,せ,せ
74,7,4,う,うか
65,6,5,う,うら
23,2,3,つ,つき
13,1,3,つ,つく
40,4,0,し,しの
37,3,7,し,しら
66,6,6,も,もろ
100,0,0,も,もも
71,7,1,ゆ,ゆう
46,4,6,ゆ,ゆら
61,6,1,い,いに
63,6,3,い,いまは
21,2,1,い,いまこ
17,1,7,ち,ちは
42,4,2,ち,ちぎりき
75,7,5,ち,ちぎりお
33,3,3,ひ,ひさ
35,3,5,ひ,ひとは
99,9,9,ひ,ひとも
91,9,1,き,きり
15,1,5,き,きみがためは
50,5,0,き,きみがためお
2,0,2,は,はるす
67,6,7,は,はるの
96,9,6,は,はなさ
9,0,9,は,はなの
59,5,9,や,やす
47,4,7,や,やえ
32,3,2,や,やまが
28,2,8,や,やまざ
62,6,2,よ,よを
85,8,5,よ,よも
93,9,3,よ,よのなかは
83,8,3,よ,よのなかよ
51,5,1,か,かく
6,0,6,か,かさ
98,9,8,か,かぜそ
48,4,8,か,かぜを
14,1,4,み,みち
90,9,0,み,みせ
94,9,4,み,みよ
49,4,9,み,みかき
27,2,7,み,みかの
73,7,3,た,たか
16,1,6,た,たち
4,0,4,た,たご
89,8,9,た,たま
55,5,5,た,たき
34,3,4,た,たれ
97,9,7,こ,こぬ
24,2,4,こ,この
10,1,0,こ,これ
41,4,1,こ,こい
29,2,9,こ,こころあ
68,6,8,こ,こころに
5,0,5,お,おく
26,2,6,お,おぐ
72,7,2,お,おと
82,8,2,お,おも
60,6,0,お,おおえ
95,9,5,お,おおけ
44,4,4,お,おおこ
20,2,0,わ,わび
8,0,8,わ,わがい
92,9,2,わ,わがそ
54,5,4,わ,わすれ
38,3,8,わ,わすら
11,1,1,わ,わたのはらや
76,7,6,わ,わたのはらこ
36,3,6,な,なつ
25,2,5,な,なにし
19,1,9,な,なにわが
88,8,8,な,なにわえ
84,8,4,な,ながら
80,8,0,な,ながか
53,5,3,な,なげき
86,8,6,な,なげけ
78,7,8,あ,あわじ
45,4,5,あ,あわれ
69,6,9,あ,あらし
56,5,6,あ,あらざ
1,0,1,あ,あきの
79,7,9,あ,あきか
12,1,2,あ,あまつ
7,0,7,あ,あまの
58,5,8,あ,ありま
30,3,0,あ,ありあ
39,3,9,あ,あさじ
31,3,1,あ,あさぼらけあ
64,6,4,あ,あさぼらけう
3,0,3,あ,あし
43,4,3,あ,あい
52,5,2,あ,あけ
